set_number,theme,actual_growth,is_avoid,baseline_prob,f2_tuned_prob,baseline_flagged,f2_flagged
75689,Wicked,5.57,0,0.5693230757806305,0.31691437867929045,1,1
10458,DUPLO,3.84,1,0.4352347087306695,0.26600324747563653,0,0
31168,Creator,3.72,1,0.8644281536613058,0.9738575728854619,1,1
10456,DUPLO,5.13,0,0.4455934154360951,0.7949391687423113,0,1
10443,DUPLO,3.84,1,0.7846896310598122,0.9452852132513465,1,1
42642,Friends,3.23,1,0.9706956123226469,0.9985708296269254,1,1
42662,Friends,3.98,1,0.9795929120444604,0.9982986122879064,1,1
60460,Town,4.49,1,0.9353724449455546,0.9950694121151238,1,1
76287,Super Heroes,7.02,0,0.04628008486266396,0.006922761055630321,0,0
71841,NINJAGO,4.6,1,0.8806366303227681,0.9772444395547725,1,1
21252,Minecraft,6.33,0,0.16601250482193258,0.024714599848818134,0,0
76310,Super Heroes,7.02,0,0.7334899234691521,0.8603235141898786,1,1
21280,Holiday & Event,6.33,0,0.38105444317334825,0.1427105393273279,0,0
60434,Town,3.8,1,0.9386892313986149,0.9782909776118258,1,1
11035,Classic,1.36,1,0.917206553231765,0.9802662241119463,1,1
71477,DREAMZzz,2.09,1,0.8052468274712364,0.9353453635818658,1,1
43248,Disney,5.93,0,0.14977870044964448,0.03778682849128186,0,0
75386,Star Wars,4.6,1,0.9347270490177104,0.9691571104758568,1,1
71422,Super Mario,2.81,1,0.5151763201044828,0.8267845293927293,1,1
41716,Friends,3.07,1,0.9817331806832478,0.9948116963805752,1,1
60339,Town,3.99,1,0.890891555452013,0.9850671374010572,1,1
60361,Town,11.15,0,0.28996752147338045,0.15620509390464557,0,0
80111,Holiday & Event,4.45,1,0.6350543666667411,0.801556021309403,1,1
10470,DUPLO,3.84,1,0.6645563807294326,0.9500696405524777,1,1
10894,DUPLO,13.28,0,0.15335766742123708,0.01497968228909612,0,0
76460,Harry Potter,7.48,0,0.2653980804743048,0.26344402375479437,0,0
72033,Super Mario,8.2,0,0.33454691940420106,0.015497006782031425,0,0
10358,Creator,4.74,1,0.8473634322621082,0.9126865137236683,1,1
75688,Wicked,5.57,0,0.6331605449124706,0.537262616194313,1,1
42668,Holiday & Event,1.43,1,0.930089206305385,0.9893516200284896,1,1
21063,Architecture,8.13,0,0.01192618036647365,0.0009245573974383921,0,0
42658,Friends,2.49,1,0.9753456047237496,0.9984279781809096,1,1
10422,DUPLO,3.84,1,0.8690066795504485,0.971153925556902,1,1
60341,Town,3.99,1,0.973300947549924,0.9985605924044538,1,1
60293,Town,2.62,1,0.9496029575635238,0.9978993354815571,1,1
71388,Super Mario,4.32,1,0.8356831604568208,0.9877855078701855,1,1
10457,DUPLO,4.03,1,0.6374801781657607,0.8720489418757692,1,1
42651,Friends,3.57,1,0.9262894531995047,0.9918318210961389,1,1
10426,DUPLO,2.76,1,0.861247533327334,0.9709250131445397,1,1
60444,Town,4.49,1,0.9511097571072568,0.9973818759955687,1,1
10428,DUPLO,2.76,1,0.5413113200129569,0.7714246859264894,1,1
42655,Friends,3.98,1,0.981362217092452,0.9992646202956439,1,1
10427,DUPLO,2.76,1,0.6495248568290337,0.9284502032494437,1,1
60294,Town,3.99,1,0.9743419637671806,0.9976737752167993,1,1
60295,Town,1.32,1,0.8537405183304044,0.940270227355601,1,1
42129,Technic,4.09,1,0.9073211748666716,0.976287766129949,1,1
76255,Super Heroes,6.83,0,0.22258486153056348,0.18506503128690252,0,0
76998,Sonic the Hedgehog,14.79,0,0.14930914629495262,0.03765829882968993,0,0
76999,Sonic the Hedgehog,11.47,0,0.06232527576791988,0.043852188338625454,0,0
80046,Monkie Kid,5.96,0,0.23114439234477485,0.058478374821034455,0,0
76997,Sonic the Hedgehog,14.79,0,0.034444764617298375,0.0178006091994892,0,0
71409,Super Mario,4.32,1,0.44096142323876747,0.45363722965387293,0,1
71437,Super Mario,25.74,0,0.3124802952959912,0.08898855846575085,0,0
71414,Super Mario,2.86,1,0.868748678978048,0.9853181504697534,1,1
76291,Super Heroes,6.09,0,0.12228317417776345,0.3202680002623273,0,1
71436,Super Mario,4.32,1,0.6803209123059784,0.9452510575929065,1,1
10415,DUPLO,6.58,0,0.3010161461799037,0.08865887720948493,0,0
42605,Friends,3.43,1,0.9805072941953737,0.9975114264115003,1,1
10961,Duplo,11.78,0,0.20192146791359128,0.10500404189630065,0,0
11042,Classic,1.18,1,0.9431773502734139,0.9938123748376889,1,1
76155,Super Heroes,7.21,0,0.09948525200522375,0.033887716743750955,0,0
41682,Friends,9.53,0,0.020701180334709527,0.018668784797657673,0,0
